n,algoritmo,tempo_medio,tempo_std,co2_medio,co2_std
100,classico,3.749529520670573e-05,8.75378307851106e-06,2.078433849442431e-08,1.1716015395564944e-08
100,heap,0.00024318695068359375,3.327711890815371e-05,2.7999285544060564e-08,1.6103193162407332e-08
100,networkx,0.00013515154520670573,0.00021748348601867084,2.6538919398860815e-08,1.7869250976463585e-08
500,classico,0.01832065264383952,0.0038951335426423506,1.883195027893418e-07,3.844705344245116e-08
500,heap,0.0054750537872314455,0.0016138573036475062,6.925994585509256e-08,2.292428040005641e-08
500,networkx,0.0018870194753011068,0.0006457992129930842,4.046794302054265e-08,9.943223759493336e-09
1000,classico,0.06812515576680502,0.01861905042698834,6.411610434918113e-07,1.864537159675804e-07
1000,heap,0.017217674255371095,0.005565101924038609,1.83568228773271e-07,5.591671956425406e-08
1000,networkx,0.012543821334838867,0.0032991131598427955,1.380117962499551e-07,3.4084904219067773e-08
5000,classico,1.2531741110483805,0.2386218401907159,1.1608888350551021e-05,2.612165671130438e-06
5000,heap,0.129222682317098,0.04391491523080967,1.2269674888065571e-06,4.129913543330896e-07
5000,networkx,0.4810044161478678,0.14637374712301918,4.473185153929333e-06,1.4665725780845637e-06
10000,classico,5.659203764597575,0.49817155036831207,5.224186334654002e-05,7.6161361231821516e-06
10000,heap,0.7188617547353109,0.21104368878570118,6.75390229649426e-06,1.9815115619743495e-06
10000,networkx,3.1490437348683673,0.45122209941541885,2.9517923068093175e-05,4.227496665441334e-06
50000,classico,135.3008122030894,1.3869342842625896,0.001264075642761525,1.2816602397716693e-05
50000,heap,0.9088086414337159,0.21005341024657417,8.437583435920328e-06,2.198285478528674e-06
50000,networkx,0.6020420932769776,0.12014935649019283,5.459367461045758e-06,1.40507999883597e-06
